protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,1,8,0,70,40,0.2541905401490914
0,1,8,0,70,41,0.28997629813093984
0,1,8,0,70,42,0.3000524887713339
0,1,8,0,70,43,0.2848556975112696
0,1,8,0,70,44,0.2747483278974293
0,1,8,0,70,45,0.2797253044891312
0,1,8,0,70,46,0.279843599033494
0,1,8,0,70,47,0.28976659197418186
0,1,8,0,70,48,0.2796232426904202
0,1,8,0,70,49,0.2900135759184638
0,1,8,0,70,50,0.27471176344924375
0,1,8,0,70,51,0.26938775851169466
0,1,8,0,70,52,0.2798307224371485
0,1,8,0,70,53,0.2591375540467874
0,1,8,0,70,54,0.2848641871013214
0,1,8,0,70,55,0.2696232553167779
0,1,8,0,70,56,0.28492392017094903
0,1,8,0,70,57,0.2899734635738336
0,1,8,0,70,58,0.2744703112294304
0,1,8,0,70,59,0.2796999604161702
0,1,8,0,70,60,0.298813540808277
0,1,8,1,71,0,0.05100811893495047
0,1,8,1,71,1,0.0953282741841322
0,1,8,1,71,2,0.11472054278392371
0,1,8,1,71,3,0.14464848569237265
0,1,8,1,71,4,0.1639655039132047
0,1,8,1,71,5,0.15663318679439553
0,1,8,1,71,6,0.17115169849498457
0,1,8,1,71,7,0.1805710373845407
0,1,8,1,71,8,0.16745726275823744
0,1,8,1,71,9,0.18054900145827904
0,1,8,1,71,10,0.18684531186048603
0,1,8,1,71,11,0.19703588817360887
0,1,8,1,71,12,0.1955698315933026
0,1,8,1,71,13,0.20557664426384856
0,1,8,1,71,14,0.23588192592871063
0,1,8,1,71,15,0.23665299901900777
0,1,8,1,71,16,0.25556765023346356
0,1,8,1,71,17,0.26752285157998207
0,1,8,1,71,18,0.25690199861641155
0,1,8,1,71,19,0.25851362131693884
0,1,8,1,71,20,0.2744518842600768
0,1,8,1,71,21,0.2652651490699384
0,1,8,1,71,22,0.26438987318854906
0,1,8,1,71,23,0.2621615044715626
0,1,8,1,71,24,0.25856033126155104
